,text,label
0,"Si tengo 2 chiles anchos o pasilla secos, sin semillas, 2 tazas de agua caliente, 1 diente de ajo, 2 cucharadas de pasta de tomate, 2 cucharadas de aceite de oliva, 1 cebolla mediana cortada en rodajas finas, 2 cucharadas de pasta de chile, 2 latas de 15 onzas de maíz blanco, enjuagadas, 8 tazas de caldo de pavo o de pollo bajo en sodio, 2 tazas de carne de pavo cocida desmenuzada, Sal y pimienta, Chips de tortilla, aguacate en rodajas, ramitas de cilantro y trozos de lima para servir] que puedo hacer",instructions
1,"Como se llama la receta con 2 chiles anchos o pasilla secos, sin semillas, 2 tazas de agua caliente, 1 diente de ajo, 2 cucharadas de pasta de tomate, 2 cucharadas de aceite de oliva, 1 cebolla mediana cortada en rodajas finas, 2 cucharadas de pasta de chile, 2 latas de 15 onzas de maíz blanco, enjuagadas, 8 tazas de caldo de pavo o de pollo bajo en sodio, 2 tazas de carne de pavo cocida desmenuzada, Sal y pimienta, Chips de tortilla, aguacate en rodajas, ramitas de cilantro y trozos de lima para servir]",title
2,"Como puedo preparar 1/4 de taza de yogur natural de leche entera, 1/4 de taza de mayonesa, 2 cucharadas de zumo de limón fresco, 2 cucharadas de cebollino fresco picado, 1/8 cucharadita de azúcar, Sal y pimienta negra recién molida, 1 cabeza grande de frisé, recortada y cortada en trozos pequeños, 3 cabezas de lechuga bibb o 1 cabeza de lechuga boston, rasgada, 1 libra de rábanos, recortados; cortados en rodajas si son más grandes que un bocado, 2 cebolletas o 4 cebolletas, recortadas y cortadas en rodajas finas, 2 zanahorias medianas, peladas y ralladas gruesas]",instructions
3,"Si tengo 1/4 de taza de yogur natural de leche entera, 1/4 de taza de mayonesa, 2 cucharadas de zumo de limón fresco, 2 cucharadas de cebollino fresco picado, 1/8 cucharadita de azúcar, Sal y pimienta negra recién molida, 1 cabeza grande de frisé, recortada y cortada en trozos pequeños, 3 cabezas de lechuga bibb o 1 cabeza de lechuga boston, rasgada, 1 libra de rábanos, recortados; cortados en rodajas si son más grandes que un bocado, 2 cebolletas o 4 cebolletas, recortadas y cortadas en rodajas finas, 2 zanahorias medianas, peladas y ralladas gruesas] que receta lo usa",title
4,Como preparar El más real de los recubrimientos ,title_instructions
5,"Que hacer con 1 1/3 tazas de harina para todo uso, 1 cucharadita de azúcar, 1/4 de cucharadita de sal, 1/3 de taza de manteca vegetal sólida refrigerada, cortada en trozos pequeños, 1/4 de taza (1/2 barrita) de mantequilla sin sal refrigerada, cortada en trozos pequeños, 2 cucharadas (aproximadamente) de agua helada, 1 taza de azúcar, 3 huevos grandes, 1/2 taza de jarabe de maíz ligero, 3 cucharadas de mantequilla sin sal, derretida, 2 cucharaditas de extracto de vainilla, 1 3/4 tazas de nueces picadas]",instructions
6,"Si tengo 1 1/3 tazas de harina para todo uso, 1 cucharadita de azúcar, 1/4 de cucharadita de sal, 1/3 de taza de manteca vegetal sólida refrigerada, cortada en trozos pequeños, 1/4 de taza (1/2 barrita) de mantequilla sin sal refrigerada, cortada en trozos pequeños, 2 cucharadas (aproximadamente) de agua helada, 1 taza de azúcar, 3 huevos grandes, 1/2 taza de jarabe de maíz ligero, 3 cucharadas de mantequilla sin sal, derretida, 2 cucharaditas de extracto de vainilla, 1 3/4 tazas de nueces picadas] que receta lo usa",title
7,"Si tengo 2 cucharadas (1/4 de barra) de mantequilla, 1 libra de raíz de apio, pelada, cortada en tiras del tamaño de una cerilla, 1 libra de zanahorias, peladas y cortadas en tiras del tamaño de una cerilla, 1 cucharada de semillas de sésamo negro, 1 cucharada de semillas de sésamo blanco tostadas, 1 cucharada de aceite de sésamo oriental, 1 cucharada de zumo de limón fresco, 1/2 cucharadita de sal] que puedo hacer",instructions
8,"Que receta usa 2 cucharadas (1/4 de barra) de mantequilla, 1 libra de raíz de apio, pelada, cortada en tiras del tamaño de una cerilla, 1 libra de zanahorias, peladas y cortadas en tiras del tamaño de una cerilla, 1 cucharada de semillas de sésamo negro, 1 cucharada de semillas de sésamo blanco tostadas, 1 cucharada de aceite de sésamo oriental, 1 cucharada de zumo de limón fresco, 1/2 cucharadita de sal]",title
9,Quiero Bisque de raíces de apio con picatostes de tomillo  como se hace,title_instructions
10,"Que puedo hacer con 12 tazas de ramilletes de coliflor (de aproximadamente 4 libras de coliflor), 1 cebolla grande, pelada y cortada en cuartos, 1 cucharadita de semillas de cilantro, 1 cucharadita de semillas de comino, 3/4 de taza de aceite de oliva, 1/2 taza de vinagre de vino tinto, 3 1/2 cucharaditas de curry en polvo, 1 cucharada de pimentón picante húngaro, 1 3/4 cucharaditas de sal, 1/4 de taza de cilantro fresco picado]",instructions
11,"Que receta usa 12 tazas de ramilletes de coliflor (de aproximadamente 4 libras de coliflor), 1 cebolla grande, pelada y cortada en cuartos, 1 cucharadita de semillas de cilantro, 1 cucharadita de semillas de comino, 3/4 de taza de aceite de oliva, 1/2 taza de vinagre de vino tinto, 3 1/2 cucharaditas de curry en polvo, 1 cucharada de pimentón picante húngaro, 1 3/4 cucharaditas de sal, 1/4 de taza de cilantro fresco picado]",title
12,"Que puedo hacer con 3 latas de 15 onzas de remolacha en juliana, escurridas, 3/4 de taza de líquido reservado, 1 1/2 tazas de zumo de naranja fresco, 1 1/2 tazas de suero de leche reducido en grasa (2%), 3 cucharadas de eneldo fresco picado, 1 1/2 tazas de pepino inglés sin pelar y cortado en dados finos (aproximadamente 1/2 grande), Eneldo fresco picado adicional]",instructions
13,"Como se llama la receta con 3 latas de 15 onzas de remolacha en juliana, escurridas, 3/4 de taza de líquido reservado, 1 1/2 tazas de zumo de naranja fresco, 1 1/2 tazas de suero de leche reducido en grasa (2%), 3 cucharadas de eneldo fresco picado, 1 1/2 tazas de pepino inglés sin pelar y cortado en dados finos (aproximadamente 1/2 grande), Eneldo fresco picado adicional]",title
