,title,ingredients,instructions
0,"Tarta de queso de higos confitados, avellanas y naranja con salsa de oporto ","1 1/2 tazas de Oporto leonado, 1 taza de higos secos Calimyrna picados, 6 clavos enteros, 18 galletas de vainilla, 1 taza de avellanas tostadas (unas 5 onzas), 3 cucharadas de mantequilla sin sal, derretida, 4 paquetes de 8 onzas de queso crema, a temperatura ambiente, 1 1/2 tazas más 3 cucharadas de azúcar, 4 huevos grandes, 1/4 de taza de Frangelico (licor de avellana), 2 cucharaditas de extracto de vainilla, 3 cucharaditas de cáscara de naranja rallada, 1 taza de crema agria, 1 naranja, 2 higos secos, 10 avellanas, 2 tazas de Oporto leonado, 1/2 taza de azúcar, 1 cucharada de agua, 2 cucharaditas de maicena]","Para los higos y la corteza: Combinar el Oporto, los higos y los clavos en una cacerola mediana pesada y llevar a ebullición. Reducir el fuego a medio-bajo, tapar y cocinar a fuego lento hasta que los higos se ablanden, unos 20 minutos. Enfriar. Desechar los clavos.Mezclar el Oporto, los higos y los clavos en una cacerola mediana y llevar a ebullición. Reducir el fuego a medio-bajo, tapar y cocinar a fuego lento hasta que los higos se ablanden, unos 20 minutos. Enfriar. Desechar los clavos.Para la corteza: Colocar la rejilla en el centro del horno y precalentar a 350°F. Combinar las obleas de vainilla y las avellanas en el procesador y molerlas finamente. Añadir la mantequilla y procesar hasta que se formen migas húmedas. Presione las migas en el fondo y hasta la mitad de los lados del molde de 9 pulgadas de diámetro con lados de 2 3/4 pulgadas de alto. Congele la corteza 20 minutos. Extienda la mezcla de higos en el fondo de la corteza.Coloque la rejilla en el centro del horno y precaliéntelo a 350°F. Combine las obleas de vainilla y las avellanas en el procesador y muela finamente. Añada la mantequilla y procese hasta que se formen migas húmedas. Presione las migas en el fondo y hasta la mitad de los lados del molde de 9 pulgadas de diámetro con lados de 2 3/4 pulgadas de alto. Congele la corteza 20 minutos. Extienda la mezcla de higos en el fondo de la corteza.Para el relleno: Con una batidora eléctrica, bata el queso crema y 1 1/2 tazas de azúcar en un bol grande hasta que esté suave. Añadir los huevos de uno en uno, batiendo sólo hasta que se mezclen después de cada adición. Mezclar el licor, la vainilla y la cáscara. Vierta el relleno sobre la mezcla de higos en la corteza. Agitar suavemente el molde para distribuir el relleno. Hornee la tarta de queso hasta que el relleno esté dorado en los bordes y el centro se mueva ligeramente al agitar el molde, aproximadamente 1 hora y 5 minutos. Pasar a una rejilla. Presione los bordes de la tarta para aplanarla si es necesario. Mantenga la temperatura del horno. Combine la crema agria y las 3 cucharadas de azúcar restantes en un bol pequeño. Extienda la mezcla uniformemente sobre la parte superior del pastel. Vuelva a meterlo en el horno y hornéelo durante 10 minutos. Transfiera la tarta de queso a una rejilla. Pase un cuchillo pequeño y afilado alrededor de los lados de la tarta de queso. Enfriar. Refrigere el pastel durante la noche. (Se puede preparar con 2 días de antelación. Manténgalo refrigerado. Suelte los lados del molde del pastel; transfiera el pastel a un plato. Corte 5 rodajas de naranja. Corte cada rodaja por la mitad. Corte cada higo a lo largo en 5 rodajas. Coloque las rodajas de naranja, con el lado cortado hacia el centro, alrededor del borde superior de la tarta. Coloque la rebanada de higo encima de cada rebanada de naranja. Colocar las avellanas entre las rodajas de naranja. Servir con la salsa.Con una batidora eléctrica, bata el queso crema y 1 1/2 tazas de azúcar en un tazón grande hasta que esté suave. Añada los huevos de uno en uno, batiendo sólo hasta que se mezclen después de cada adición. Mezcle el licor, la vainilla y la cáscara. Vierta el relleno sobre la mezcla de higos en la corteza. Agitar suavemente el molde para distribuir el relleno.Hornee la tarta de queso hasta que el relleno esté dorado en los bordes y el centro se mueva ligeramente al agitar el molde, aproximadamente 1 hora y 5 minutos. Pasar a una rejilla. Presione los bordes de la tarta para aplanarla si es necesario. Mantenga la temperatura del horno.Combine la crema agria y las 3 cucharadas de azúcar restantes en un bol pequeño. Extienda la mezcla uniformemente sobre la parte superior del pastel. Vuelva a meterlo en el horno y hornéelo durante 10 minutos. Transfiera la tarta de queso a una rejilla. Pase un cuchillo pequeño y afilado alrededor de los lados de la tarta de queso. Enfriar. Refrigere el pastel durante la noche. (Se puede preparar con 2 días de antelación. Manténgalo refrigerado.Suelte los lados del molde del pastel; transfiera el pastel a un plato. Corte 5 rodajas de naranja. Corte cada rodaja por la mitad. Corte cada higo a lo largo en 5 rodajas. Coloque las rodajas de naranja, con el lado cortado hacia el centro, alrededor del borde superior de la tarta. Coloque la rebanada de higo encima de cada rebanada de naranja. Colocar las avellanas entre las rodajas de naranja. Servir con la salsa.Para la salsa de oporto: Remover el Oporto y el azúcar en una cacerola pequeña a fuego lento hasta que el azúcar se disuelva. Aumentar el fuego a medio-alto y hervir hasta que la mezcla se reduzca a 1 taza, unos 13 minutos. Mezclar el agua y la maicena en un bol pequeño. Incorporar a la mezcla de Oporto y hervir hasta que espese ligeramente, sin dejar de remover, aproximadamente 1 minuto. Enfriar. (Se puede hacer con 2 días de antelación. Cubrir y enfriar. Llevar a temperatura ambiente antes de servir).Remover el Oporto y el azúcar en una cacerola pequeña a fuego lento hasta que el azúcar se disuelva. Subir el fuego a medio-alto y hervir hasta que la mezcla se reduzca a 1 taza, unos 13 minutos. Mezclar el agua y la maicena en un bol pequeño. Incorporar a la mezcla de Oporto y hervir hasta que se espese ligeramente, removiendo constantemente, aproximadamente 1 minuto. Enfriar. (Se puede hacer con 2 días de antelación. Cubrir y enfriar. Llevar a temperatura ambiente antes de servir)."
1,Bisque de chirivía con jengibre ,"3 cucharadas de mantequilla, 2 1/2 tazas de puerros picados (unos 2 grandes; sólo las partes blancas y verdes pálidas), 1/2 taza de apio picado, 3 cucharadas de jengibre fresco pelado y picado, 2 chalotas grandes, picadas, 1/8 de cucharadita de pimienta de cayena, 4 1/2 tazas de caldo de pollo bajo en sal en lata, 1 libra y media de chirivías, peladas y picadas gruesas (unas 4 tazas), 2 tazas de mitad y mitad]","Derretir la mantequilla en una olla grande a fuego medio. Añadir los siguientes 5 ingredientes y saltear hasta que las verduras estén tiernas, unos 5 minutos. Incorporar el caldo y las chirivías y llevar a ebullición. Reduzca el fuego a medio-bajo y cocine a fuego lento hasta que las chirivías estén tiernas, unos 20 minutos. Enfriar un poco. Trabajando por tandas, haga un puré de la sopa en la licuadora hasta que esté suave. Colar en otra olla grande; desechar los sólidos en el colador. Bata la mitad y la mitad. (Se puede hacer con 1 día de antelación. Tapar y enfriar.) Cocinar la sopa a fuego medio hasta que se caliente, unos 10 minutos. Sazone la sopa con sal y pimienta.Derretir la mantequilla en una olla grande a fuego medio. Añadir los siguientes 5 ingredientes y saltear hasta que las verduras estén tiernas, unos 5 minutos. Incorporar el caldo y las chirivías y llevar a ebullición. Reducir el fuego a medio-bajo y cocinar a fuego lento hasta que las chirivías estén tiernas, unos 20 minutos. Enfriar un poco. Trabajando por tandas, haga un puré de la sopa en la licuadora hasta que esté suave. Colar en otra olla grande; desechar los sólidos en el colador. Bata la mitad y la mitad. (Se puede hacer con 1 día de antelación. Tapar y enfriar.) Cocinar la sopa a fuego medio hasta que se caliente, unos 10 minutos. Sazone la sopa con sal y pimienta."
2,Posole de pavo ,"2 chiles anchos o pasilla secos, sin semillas, 2 tazas de agua caliente, 1 diente de ajo, 2 cucharadas de pasta de tomate, 2 cucharadas de aceite de oliva, 1 cebolla mediana cortada en rodajas finas, 2 cucharadas de pasta de chile, 2 latas de 15 onzas de maíz blanco, enjuagadas, 8 tazas de caldo de pavo o de pollo bajo en sodio, 2 tazas de carne de pavo cocida desmenuzada, Sal y pimienta, Chips de tortilla, aguacate en rodajas, ramitas de cilantro y trozos de lima para servir]","Retire las semillas de 2 chiles anchos o pasillas secos; tueste en una sartén pequeña y seca a fuego medio-alto, dándole la vuelta, hasta que se oscurezcan y estén fragantes, unos 4 minutos. Colocar en un recipiente mediano. Añada 2 tazas de agua caliente y déjelo reposar hasta que se ablande, unos 5 minutos. Ponga los chiles en un procesador de alimentos con 1/2 taza de líquido de remojo, 1 diente de ajo y 2 cucharadas de pasta de tomate hasta que estén suaves. Caliente 2 cucharadas de aceite de oliva en una olla grande a fuego medio. Cocine 1 cebolla mediana cortada en rodajas finas, revolviendo ocasionalmente, hasta que esté translúcida, de 6 a 8 minutos. Agregue 2 cucharadas de pasta de chile y cocine, revolviendo, hasta que espese y se oscurezca, unos 4 minutos. Agregue dos latas de 15 onzas de maíz blanco, enjuagadas, 8 tazas de caldo de pavo o caldo de pollo bajo en sodio y 2 tazas de carne de pavo cocida desmenuzada; sazone con sal y pimienta. Cocine a fuego lento hasta que los sabores se mezclen, de 10 a 15 minutos. Sirva con chips de tortilla, aguacate en rodajas, ramitas de cilantro y gajos de lima.Retire las semillas de 2 chiles anchos o pasilla secos; tueste en una sartén pequeña seca a fuego medio-alto, dándole la vuelta, hasta que se oscurezcan y estén fragantes, unos 4 minutos. Coloque en un tazón mediano. Añada 2 tazas de agua caliente y déjelo reposar hasta que se ablande, unos 5 minutos. Ponga los chiles en un procesador de alimentos con 1/2 taza de líquido de remojo, 1 diente de ajo y 2 cucharadas de pasta de tomate hasta que estén suaves.Caliente 2 cucharadas de aceite de oliva en una olla grande a fuego medio. Cocine 1 cebolla mediana cortada en rodajas finas, revolviendo ocasionalmente, hasta que esté translúcida, de 6 a 8 minutos. Agregue 2 cucharadas de pasta de chile y cocine, revolviendo, hasta que espese y se oscurezca, unos 4 minutos. Agregue dos latas de 15 onzas de maíz blanco, enjuagadas, 8 tazas de caldo de pavo o caldo de pollo bajo en sodio y 2 tazas de carne de pavo cocida desmenuzada; sazone con sal y pimienta. Cocine a fuego lento hasta que los sabores se mezclen, de 10 a 15 minutos.Sirva con chips de tortilla, aguacate en rodajas, ramitas de cilantro y gajos de lima."
3,Rabe de brócoli con bulgur y nueces ,"1 taza de bulgur de grano medio*., 2 1/2 tazas de agua hirviendo, 1 1/2 libras de brócoli rabe (rapini; 1 racimo muy grande), con la parte inferior de los tallos recortada 1 pulgada, 6 cucharadas de aceite de oliva virgen extra, 2 chalotas grandes, picadas (aproximadamente 2/3 de taza), 2/3 de taza de nueces finamente picadas, 2 cucharadas de zumo de limón fresco, 1 taza de queso parmesano rallado, dividido]","Poner el bulgur en un bol mediano y verter 2 1/2 tazas de agua hirviendo. Remover una vez y dejar reposar hasta que esté tierno, unos 20 minutos. Vierta el bulgur en un colador fino colocado sobre el bol. Reservar el líquido de remojo. Cocinar el brócoli rabe en agua hirviendo con sal hasta que esté crujiente, 2 minutos. Con unas pinzas, páselo a un bol con agua helada y enfríelo. Escúrralo; córtelo en trozos de 1 pulgada y resérvelo. Mientras tanto, calentar el aceite en una sartén grande a fuego medio-alto. Añadir las chalotas y saltearlas hasta que se ablanden, unos 2 minutos. Añadir las nueces; saltear hasta que estén fragantes, unos 2 minutos. Añadir el brócoli rabe y el bulgur; espolvorear con sal y pimienta. Cocinar, removiendo frecuentemente, hasta que se caliente, unos 3 minutos. Si está seco, añadir el líquido de remojo del bulgur reservado a cucharadas. Incorporar el zumo de limón y sazonar con sal y pimienta. Añada la mitad del parmesano. Pase el resto del queso por separado.Poner el bulgur en un bol mediano; verter 2 1/2 tazas de agua hirviendo. Remover una vez y dejar reposar hasta que esté tierno, unos 20 minutos. Vierta el bulgur en un colador fino colocado sobre el bol. Reservar el líquido de remojo.Cocinar el brócoli rabe en agua hirviendo con sal hasta que esté crujiente, 2 minutos. Con unas pinzas, páselo a un bol con agua helada y enfríelo. Escúrralo; córtelo en trozos de 1 pulgada y resérvelo.Mientras tanto, calentar el aceite en una sartén grande a fuego medio-alto. Añadir las chalotas y saltearlas hasta que se ablanden, unos 2 minutos. Añadir las nueces; saltear hasta que estén fragantes, unos 2 minutos. Añadir el brócoli rabe y el bulgur; espolvorear con sal y pimienta. Cocinar, removiendo frecuentemente, hasta que se caliente, unos 3 minutos. Si está seco, añadir el líquido de remojo del bulgur reservado a cucharadas. Incorporar el zumo de limón y sazonar con sal y pimienta. Añada la mitad del parmesano. Pase el resto del queso por separado.*También llamado trigo agrietado; disponible en supermercados y tiendas de alimentos naturales.*También llamado trigo agrietado; disponible en supermercados y tiendas de alimentos naturales."
4,Lechuga Frisée y Bibb con rábanos y cebollas de primavera ,"1/4 de taza de yogur natural de leche entera, 1/4 de taza de mayonesa, 2 cucharadas de zumo de limón fresco, 2 cucharadas de cebollino fresco picado, 1/8 cucharadita de azúcar, Sal y pimienta negra recién molida, 1 cabeza grande de frisé, recortada y cortada en trozos pequeños, 3 cabezas de lechuga bibb o 1 cabeza de lechuga boston, rasgada, 1 libra de rábanos, recortados; cortados en rodajas si son más grandes que un bocado, 2 cebolletas o 4 cebolletas, recortadas y cortadas en rodajas finas, 2 zanahorias medianas, peladas y ralladas gruesas]","En un bol pequeño, bata el yogur, la mayonesa, el zumo de limón, el cebollino y el azúcar. Sazone al gusto con sal y pimienta. Tapar y enfriar hasta que se vaya a utilizar. En un tazón grande, mezcle la frisée, la lechuga bibb, los rábanos, las cebolletas y las zanahorias. Añadir el aliño y mezclar para cubrir. Servir inmediatamente.En un bol pequeño, bata el yogur, la mayonesa, el zumo de limón, el cebollino y el azúcar. Sazone al gusto con sal y pimienta. Cubrir y enfriar hasta que se vaya a utilizar.En un tazón grande, mezcle la frisée, la lechuga bibb, los rábanos, las cebolletas y las zanahorias. Añadir el aliño y mezclar para cubrir. Servir inmediatamente."
5,El más real de los recubrimientos ,"3 1/2 tazas de azúcar en polvo, 2 claras de huevo grandes]","Con una batidora eléctrica a velocidad media-alta, bata 3 1/2 tazas de azúcar en polvo y 2 claras de huevo grandes hasta que blanqueen, espesen y tripliquen su volumen, unos 5 minutos. Añada agua a cucharadas hasta que el glaseado ya no tenga picos. Dividir el glaseado en cuencos más pequeños y colorear con colorantes alimentarios al gusto.Con una batidora eléctrica a velocidad media-alta, bata 3 1/2 tazas de azúcar en polvo y 2 claras de huevo grandes hasta que blanqueen, espesen y tripliquen su volumen, unos 5 minutos. Añada agua a cucharadas hasta que el glaseado ya no tenga picos. Dividir el glaseado en cuencos más pequeños y colorear con colorantes alimentarios al gusto."
6,Tarta de nueces a la antigua usanza ,"1 1/3 tazas de harina para todo uso, 1 cucharadita de azúcar, 1/4 de cucharadita de sal, 1/3 de taza de manteca vegetal sólida refrigerada, cortada en trozos pequeños, 1/4 de taza (1/2 barrita) de mantequilla sin sal refrigerada, cortada en trozos pequeños, 2 cucharadas (aproximadamente) de agua helada, 1 taza de azúcar, 3 huevos grandes, 1/2 taza de jarabe de maíz ligero, 3 cucharadas de mantequilla sin sal, derretida, 2 cucharaditas de extracto de vainilla, 1 3/4 tazas de nueces picadas]","Hacer la corteza: Mezclar los 3 primeros ingredientes en el procesador. Añadir la manteca y la mantequilla; cortar con vueltas hasta que la mezcla se asemeje a una harina gruesa. Añadir suficiente agua para formar grumos húmedos. Formar una bola y aplanar en forma de disco. Envolver en plástico; enfriar 1 hora. Enrolle la masa en una superficie de trabajo enharinada hasta obtener una forma redonda de 13 pulgadas. Transfiera a un molde redondo de 9 pulgadas con lados de 1 1/2 pulgadas de alto. Recorte la masa para alinearla con los bordes del molde. Congelar 15 minutos.Mezclar los 3 primeros ingredientes en el procesador. Añadir la manteca y la mantequilla; cortar con vueltas hasta que la mezcla se asemeje a una harina gruesa. Añadir suficiente agua para formar grumos húmedos. Formar una bola y aplanar en forma de disco. Envolver en plástico; enfriar 1 hora.Enrolle la masa en una superficie de trabajo enharinada hasta obtener una forma redonda de 13 pulgadas. Transfiera a un molde redondo de 9 pulgadas con lados de 1 1/2 pulgadas de alto. Recorte la masa para alinearla con los bordes del molde. Congelar 15 minutos.Prepare el relleno: Precaliente el horno a 350°F. Bata los primeros 5 ingredientes en un tazón mediano para mezclarlos. Añada 3/4 de taza de nueces. Vierta en la corteza. Espolvorear con 1 taza de nueces. Hornee el pastel hasta que esté listo, aproximadamente 1 hora y 15 minutos. Ponga la tarta en una rejilla y déjela enfriar.Precaliente el horno a 350°F. Bata los primeros 5 ingredientes en un tazón mediano para mezclarlos. Añada 3/4 de taza de nueces. Vierta en la corteza. Espolvorear con 1 taza de nueces. Hornee el pastel hasta que esté listo, aproximadamente 1 hora y 15 minutos. Ponga la tarta en una rejilla y déjela enfriar."
7,Juliana de zanahorias con sésamo y raíz de apio ,"2 cucharadas (1/4 de barra) de mantequilla, 1 libra de raíz de apio, pelada, cortada en tiras del tamaño de una cerilla, 1 libra de zanahorias, peladas y cortadas en tiras del tamaño de una cerilla, 1 cucharada de semillas de sésamo negro, 1 cucharada de semillas de sésamo blanco tostadas, 1 cucharada de aceite de sésamo oriental, 1 cucharada de zumo de limón fresco, 1/2 cucharadita de sal]","Cocinar la mantequilla en una sartén grande y profunda a fuego medio hasta que se dore, unos 2 minutos. Añadir la raíz de apio y las zanahorias; remover para cubrirlas con la mantequilla. Reduzca el fuego a medio-bajo y cocine hasta que las zanahorias y la raíz de apio estén crujientes, removiendo de vez en cuando, unos 10 minutos. Añada todas las semillas de sésamo, el aceite de sésamo, el zumo de limón y la sal. Cocinar 2 minutos más para mezclar los sabores. Pasar a un bol.Cocine la mantequilla en una sartén grande y pesada a fuego medio hasta que se dore, unos 2 minutos. Añada la raíz de apio y las zanahorias; revuelva para cubrirlas con la mantequilla. Reduzca el fuego a medio-bajo y cocine hasta que las zanahorias y la raíz de apio estén crujientes y tiernas, removiendo de vez en cuando, unos 10 minutos. Añada todas las semillas de sésamo, el aceite de sésamo, el zumo de limón y la sal. Cocinar 2 minutos más para mezclar los sabores. Pasar a un bol."
8,Bisque de raíces de apio con picatostes de tomillo ,"1/4 de taza (1/2 barra) de mantequilla, 1 taza de apio picado, 1/2 taza de chalotas picadas gruesas (unas 3 grandes), 2 libras de raíces de apio (apionabo), peladas, con las partes leñosas recortadas y desechadas, cortadas en cubos de 1/2 pulgada (unas 5 1/2 tazas), 1 patata russet de 10 onzas, pelada y cortada en trozos de 1 pulgada, 5 tazas de caldo de pollo bajo en sal, 1 1/2 cucharaditas de tomillo fresco picado, 1/4 de taza de nata líquida, Tomillo fresco picado adicional]","Derretir la mantequilla en una olla grande a fuego medio. Añadir el apio; tapar y cocinar hasta que se ablande ligeramente, unos 3 minutos. Añade las chalotas y saltéalas sin tapar durante 3 minutos. Añada los cubos de raíz de apio y la patata, luego el caldo y 1 1/2 cucharadita de tomillo. Aumentar el fuego a alto; llevar a ebullición. Reducir el fuego a medio-bajo, tapar y cocer a fuego lento hasta que las verduras estén muy tiernas, unos 40 minutos. Enfriar un poco. Pasar la sopa a la batidora por tandas y hacerla puré (se puede preparar con 2 días de antelación, enfriar un poco, tapar y refrigerar). Sazonar al gusto con sal y pimienta. Servir la sopa en tazones. Espolvorear con tomillo picado adicional y servir.Derretir la mantequilla en una olla grande a fuego medio. Añadir el apio; tapar y cocinar hasta que se ablande ligeramente, unos 3 minutos. Añade las chalotas y saltea sin tapar durante 3 minutos. Añada los cubos de raíz de apio y la patata, luego el caldo y 1 1/2 cucharaditas de tomillo. Aumentar el fuego a alto; llevar a ebullición. Reducir el fuego a medio-bajo, tapar y cocer a fuego lento hasta que las verduras estén muy tiernas, unos 40 minutos. Enfriar un poco.Trabajar en tandas, transferir la sopa a la licuadora y hacerla puré hasta que esté suave. (Se puede preparar con 2 días de anticipación. Enfriar ligeramente. Cubrir y refrigerar).Incorporar la crema a la sopa y llevar a fuego lento. Sazonar al gusto con sal y pimienta. Servir la sopa en tazones. Espolvorear con tomillo picado adicional y servir."
9,Coliflor asada al curry ,"12 tazas de ramilletes de coliflor (de aproximadamente 4 libras de coliflor), 1 cebolla grande, pelada y cortada en cuartos, 1 cucharadita de semillas de cilantro, 1 cucharadita de semillas de comino, 3/4 de taza de aceite de oliva, 1/2 taza de vinagre de vino tinto, 3 1/2 cucharaditas de curry en polvo, 1 cucharada de pimentón picante húngaro, 1 3/4 cucharaditas de sal, 1/4 de taza de cilantro fresco picado]","Precaliente el horno a 450°F. Colocar los ramilletes de coliflor en una bandeja grande para asar. Separe los cuartos de cebolla en capas separadas; agréguelos a la coliflor. Revuelva las semillas de cilantro y de comino en una sartén pequeña a fuego medio hasta que se oscurezcan ligeramente, unos 5 minutos. Machacarlas en un mortero con un pilón. Poner las semillas en un bol mediano. Bata el aceite, el vinagre, el curry en polvo, el pimentón y la sal. Vierta el aderezo sobre las verduras y revuélvalas para cubrirlas. Extienda las verduras en una sola capa. Espolvorear con pimienta. Asar las verduras hasta que estén tiernas, removiendo de vez en cuando, unos 35 minutos. (Se puede hacer con 2 horas de antelación. Dejar reposar a temperatura ambiente. Vuelva a calentar en el horno a 450°F durante 10 minutos, si lo desea). Coloque las verduras en un recipiente grande. Espolvorear con cilantro fresco. Servir caliente o a temperatura ambiente.Precaliente el horno a 450°F. Coloque los ramilletes de coliflor en una sartén grande para asar. Separe los cuartos de cebolla en capas separadas; agréguelos a la coliflor. Revuelva las semillas de cilantro y de comino en una sartén pequeña a fuego medio hasta que se oscurezcan ligeramente, unos 5 minutos. Machacarlas en un mortero con un pilón. Poner las semillas en un bol mediano. Bata el aceite, el vinagre, el curry en polvo, el pimentón y la sal. Vierta el aderezo sobre las verduras y revuélvalas para cubrirlas. Extienda las verduras en una sola capa. Espolvorear con pimienta.Asar las verduras hasta que estén tiernas, removiendo de vez en cuando, unos 35 minutos. (Se puede hacer con 2 horas de antelación. Dejar reposar a temperatura ambiente. Vuelva a calentar en el horno a 450°F durante 10 minutos, si lo desea).Coloque las verduras en un recipiente grande. Espolvorear con cilantro fresco. Servir caliente o a temperatura ambiente."
